Geography,Geographic Level,FIPS Code,LDH Region,Demographic Group,Vaccine Status,Count,x,y
_Region 3,REGION,,3,Aged 5-17,Unvaccinated,68978,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 60-69,Unvaccinated,13172,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 70 plus,Unvaccinated,5505,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Age Unknown,Unvaccinated,,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Black,Unvaccinated,70388,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Other Race,Unvaccinated,16274,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Unknown Race,Unvaccinated,,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,White,Unvaccinated,182509,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Female,Unvaccinated,123624,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Male,Unvaccinated,144603,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Gender Unkown,Unvaccinated,,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 0-4,Unvaccinated,26646,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 18-29,Unvaccinated,51966,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 30-39,Unvaccinated,39820,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 40-49,Unvaccinated,31373,-10108433.153177682,3450445.5166252605
_Region 4,REGION,,4,White,Complete,105198,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Female,Complete,97732,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Male,Complete,77047,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Gender Unkown,Complete,621,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 0-4,Complete,0,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 18-29,Complete,15723,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 30-39,Complete,18401,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 40-49,Complete,21084,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 50-59,Complete,31384,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 5-17,Complete,2939,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 60-69,Complete,42042,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 70 plus,Complete,43814,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Age Unknown,Complete,13,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Black,Complete,46495,-10250354.371990027,3522792.7718235385
